"scientific_name","taxonomy_id","entry_counts","rank","domain","virus_genome","virus_strand","virus_strand_sense","virus_capsid","virus_capsid_symmetry","pathogen","pathogen_host","volunteer_name","source","reference"
"Huitzilac virus",1000587,2,"no_rank","Virus","RNA","ss","Negative_strand","Incongruent","Icosahedral","Yes","Animal","Afrin Ansary Aileen Li","TMD","-Saasa, Ngonda, et al. “Ecology of Hantaviruses in Mexico: Genetic Identification of Rodent Host Species and Spillover Infection.” Virus Research, vol. 168, no. 1–2, Sept. 2012, pp. 88–96. PubMed, doi:10.1016/j.virusres.2012.06.020.

-Milazzo, Mary L., et al. “Geographic Distribution of Hantaviruses Associated with Neotomine and Sigmodontine Rodents, Mexico.” Emerging Infectious Diseases, vol. 18, no. 4, Apr. 2012. DOI.org (Crossref), doi:10.3201/eid1804.111028. Hantaviridae ~ ViralZone Page. https://viralzone.expasy.org/7079. Accessed 6 Dec. 2020.
Huitzilac Virus - Encyclopedia of Life. https://eol.org/pages/55420908. Accessed 6 Dec. 2020.
Mull, Nathaniel, et al. “Ecology of Neglected Rodent-Borne American Orthohantaviruses.” Pathogens, vol. 9, no. 5, Apr. 2020, p. 325. DOI.org (Crossref), doi:10.3390/pathogens9050325.
SsRNA(-) ~ ViralZone Page. https://viralzone.expasy.org/237. Accessed 6 Dec. 2020.
Taxonomy Browser (Root). https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi. Accessed 6 Dec. 2020."
"Echarate virus",1000646,1,"no_rank","Virus","RNA","ss","Negative_strand","Enveloped","Icosahedral","Not_annotated","","Oasima Muner","TMD","Phlebovirus ~ ViralZone Page. https://viralzone.expasy.org/252. Accessed 25 Oct. 2020.

Klimentov, Alexander S., et al. “Development of Pan-Phlebovirus RT-PCR Assay.” Journal of Virological Methods, vol. 232, June 2016, pp. 29–32. ScienceDirect, doi:10.1016/j.jviromet.2016.02.009.

Echarate Virus. https://www.uniprot.org/taxonomy/1000646. Accessed 25 Oct. 2020.

Palacios, Gustavo, et al. “Characterization of the Candiru Antigenic Complex (Bunyaviridae: Phlebovirus), a Highly Diverse and Reassorting Group of Viruses Affecting Humans in Tropical America.” Journal of Virology, vol. 85, no. 8, Apr. 2011, pp. 3811–20. PubMed Central, doi:10.1128/JVI.02275-10."
"Morumbi virus",1000647,2,"no_rank","Virus","RNA","Unknown","Incongruent","Incongruent","Unknown","Incongruent","Animal","Sahera Fareha Salma Benitez","TMD","Shapshak, Paul, et al. Global Virology I - Identifying and Investigating Viral Diseases. Springer, 2015.

Elliott, Richard M., and Benjamin Brennan. “Emerging Phleboviruses.” Current Opinion in Virology, vol. 5, no. 100, Apr. 2014, pp. 50–57. PubMed Central, doi:10.1016/j.coviro.2014.01.011. L Protein - Morumbi Virus. https://www.uniprot.org/uniprot/F2W3S0. Accessed 10 Aug. 2020."
"Pepper leaf curl Bangladesh virus-India",1000670,1,"species","Virus","Unknown","Unknown","Unknown","Unknown","","Yes","Plant","Sobia Shahabuddin","TMD","Taxonomy Browser (Pepper Leaf Curl Bangladesh Virus-India [India/Coimbatore/2008]). https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=1000671&lvl=3&lin=f&keep=1&srchmode=1&unlock. Accessed 9 Sept. 2020."
"Ljunganvirus 1",1001061,3,"no_rank","Virus","RNA","ss","Positive_strand","Enveloped","Icosahedral","Yes","Animal Human","Aniqua Tultul Ansh Sharma Anita Guan","TMD","NCBI Virus. https://www.ncbi.nlm.nih.gov/labs/virus/vssi/#/virus?SeqType_s=Nucleotide&VirusLineage_ss=Ljunganvirus%201,%20taxid:1001061. Accessed 27 Nov. 2020.

Zhu, Ling, et al. “Structure of Ljungan Virus Provides Insight into Genome Packaging of This Picornavirus.” Nature Communications, vol. 6, no. 1, Oct. 2015, p. 8316. www.nature.com, doi:10.1038/ncomms9316.

Genus: Parechovirus - Picornaviridae - Positive-Sense RNA Viruses - ICTV. https://talk.ictvonline.org/ictv-reports/ictv_online_report/positive-sense-rna-viruses/w/picornaviridae/693/genus-parechovirus. Accessed 27 Nov. 2020. Tolf, Conny, et al. “Molecular Characterization of a Novel Ljungan Virus (Parechovirus; Picornaviridae) Reveals a Fourth Genotype and Indicates Ancestral Recombination.” The Journal of General Virology, vol. 90, no. Pt 4, Apr. 2009, pp. 843–53. PubMed Central, doi:10.1099/vir.0.007948-0. Zhu, Ling, et al. “Structure of Ljungan Virus Provides Insight into Genome Packaging of This Picornavirus.” Nature Communications, vol. 6, Oct. 2015. PubMed Central, doi:10.1038/ncomms9316."
"Catfish iridovirus",100215,3,"species","Virus","DNA","ds","Negative_strand","Enveloped","Incongruent","Yes","Animal","Zahin Quayyum Tasmia Promi Zara Nadeem","TMD","Granoff, Allan, and Robert G. Webster. Encyclopedia of Virology. Elsevier, 1999. Ranavirus ~ ViralZone Page. https://viralzone.expasy.org/585?outline=all_by_species. Accessed 5 July 2020.

Taxonomy Browser (Catfish Iridovirus). https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=100215&lvl=3&keep=1&srchmode=1&unlock&lin=s&log_op=lineage_toggle. Accessed 5 July 2020.

Iridovirus - an Overview | ScienceDirect Topics. https://www.sciencedirect.com/topics/biochemistry-genetics-and-molecular-biology/iridovirus. Accessed 5 July 2020. Ahne, W., et al. “Iridoviruses Associated with Epizootic Haematopoietic Necrosis (EHN) in Aquaculture.” World Journal of Microbiology and Biotechnology, vol. 13, no. 4, July 1997, pp. 367–73. Springer Link, doi:10.1023/A:1018563930712.

Iridovirus - an Overview | ScienceDirect Topics. https://www.sciencedirect.com/topics/biochemistry-genetics-and-molecular-biology/iridovirus. Accessed 16 Aug. 2020.

Hedrick, Rp, et al. “Propentes of Three Iridovirus-like Agents Associated with Systemic Infections of Fish.” Diseases of Aquatic Organisms, vol. 13, 1992, pp. 203–09. DOI.org (Crossref), doi:10.3354/dao013203."
"Epizootic haematopoietic necrosis virus",100217,3,"species","Virus","DNA","ds","Positive_strand","Enveloped","Icosahedral","Yes","Animal","Tasmia Promi Zahin Quayyum Zara Nadeem","TMD","Ranavirus ~ ViralZone Page. https://viralzone.expasy.org/585?outline=all_by_species. Accessed 5 July 2020.

Reddacliff, L. A., and R. J. Whittington. “Pathology of Epizootic Haematopoietic Necrosis Virus (EHNV) Infection in Rainbow Trout (Oncorhynchus Mykiss Walbaum) and Redfin Perch (Perca Fluviatilis L).” Journal of Comparative Pathology, vol. 115, no. 2, Aug. 1996, pp. 103–15. PubMed, doi:10.1016/s0021-9975(96)80033-8.

Becker, Joy A., et al. “Geographic Distribution of Epizootic Haematopoietic Necrosis Virus (EHNV) in Freshwater Fish in South Eastern Australia: Lost Opportunity for a Notifiable Pathogen to Expand Its Geographic Range.” Viruses, vol. 11, no. 4, Apr. 2019. PubMed Central, doi:10.3390/v11040315. “CHAPTER 2.3.1. EPIZOOTIC HAEMATOPOIETIC NECROSIS .” Manual of Diagnostic Tests for Aquatic Animals, pp. 168–87, https://www.oie.int/fileadmin/Home/eng/Health_standards/aahm/2009/2.3.01_EHN.pdf. Sano, M., et al. “Viral Diseases and Agents of Warmwater Fish.” Fish Diseases and Disorders. Volume 3: Viral, Bacterial and Fungal Infections, edited by P. T. K. Woo and D. W. Bruno, 2nd ed., CABI, 2011, pp. 166–244. DOI.org (Crossref), doi:10.1079/9781845935542.0166.

Becker, Joy A., et al. “Geographic Distribution of Epizootic Haematopoietic Necrosis Virus (EHNV) in Freshwater Fish in South Eastern Australia: Lost Opportunity for a Notifiable Pathogen to Expand Its Geographic Range.” Viruses, vol. 11, no. 4, Apr. 2019. PubMed Central, doi:10.3390/v11040315.

http://www.cfsph.iastate.edu/Factsheets/pdfs/epizootic_hematopoietic_necrosis.pdf

https://www.oie.int/fileadmin/Home/eng/Health_standards/aahm/current/chapitre_ehn.pdf"
"Leptodactylus Venezuelan iridovirus 1",100219,3,"species","Virus","DNA","ds","Negative_strand","Enveloped","Icosahedral","Yes","Animal","Zahin Quayyum Zara Nadeem Tasmia Promi","TMD","Themes, U. F. O. “Amphibian Viral Diseases.” Veterian Key, 27 Aug. 2016, https://veteriankey.com/amphibian-viral-diseases/. Zupanovic, Z., et al. “Isolation and Characterization of Iridoviruses from the Giant Toad Bufo Marinus in Venezuela.” Diseases of Aquatic Organisms, vol. 33, 1998, pp. 1–9. DOI.org (Crossref), doi:10.3354/dao033001. Taxonomy Browser (Leptodactylus Venezuelan Iridovirus 1). https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=100219&lvl=3&lin=f&keep=1&srchmode=1&unlock. Accessed 5 July 2020.

Ranavirus ~ ViralZone Page. https://viralzone.expasy.org/585?outline=all_by_species. Accessed 5 July 2020.

Iridovirus - an Overview | ScienceDirect Topics. https://www.sciencedirect.com/topics/biochemistry-genetics-and-molecular-biology/iridovirus. Accessed 5 July 2020."
"Bohle iridovirus",100220,3,"no_rank","Virus","DNA","ds","Positive_strand","Unknown","Icosahedral","Yes","Animal","Tasmia Promi Zara Nadeem Zahin Quayyum","TMD","Bohle Iridovirus - an Overview | ScienceDirect Topics. https://www.sciencedirect.com/topics/agricultural-and-biological-sciences/bohle-iridovirus. Accessed 5 July 2020.

Maclaine, Alicia, et al. “Pathogenesis of Bohle Iridovirus (Genus Ranavirus) in Experimentally Infected Juvenile Eastern Water Dragons ( Intellagama Lesueurii Lesueurii).” Veterinary Pathology, vol. 56, no. 3, 2019, pp. 465–75. PubMed, doi:10.1177/0300985818823666.

Hick, Paul M., et al. “Complete Genome Sequence of a Bohle Iridovirus Isolate from Ornate Burrowing Frogs (Limnodynastes Ornatus) in Australia.” Genome Announcements, vol. 4, no. 4, Aug. 2016. PubMed Central, doi:10.1128/genomeA.00632-16. Bohle Iridovirus - an Overview | ScienceDirect Topics. https://www.sciencedirect.com/topics/agricultural-and-biological-sciences/bohle-iridovirus. Accessed 17 Aug. 2020.

Hick, Paul M., et al. “Complete Genome Sequence of a Bohle Iridovirus Isolate from Ornate Burrowing Frogs (Limnodynastes Ornatus) in Australia.” Genome Announcements, vol. 4, no. 4, Aug. 2016. PubMed Central, doi:10.1128/genomeA.00632-16.

Maclaine, Alicia, et al. “Pathogenesis of Bohle Iridovirus (Genus Ranavirus) in Experimentally Infected Juvenile Eastern Water Dragons ( Intellagama Lesueurii Lesueurii).” Veterinary Pathology, vol. 56, no. 3, 2019, pp. 465–75. PubMed, doi:10.1177/0300985818823666. Hick, Paul M., et al. “Complete Genome Sequence of a Bohle Iridovirus Isolate from Ornate Burrowing Frogs (Limnodynastes Ornatus) in Australia.” Genome Announcements, vol. 4, no. 4, Aug. 2016. PubMed Central, doi:10.1128/genomeA.00632-16.

Maclaine, Alicia, et al. “Pathogenesis of Bohle Iridovirus (Genus Ranavirus) in Experimentally Infected Juvenile Eastern Water Dragons (Intellagama Lesueurii Lesueurii):” Veterinary Pathology, Jan. 2019. Sage CA: Los Angeles, CA, journals.sagepub.com, doi:10.1177/0300985818823666."
"Dahlia mosaic virus D10",1006328,2,"no_rank","Virus","DNA","ds","Unknown","Incongruent","Unknown","Yes","Plant","Nelofer Turyali Nekadam Sezan","TMD","Dahlia - an Overview | ScienceDirect Topics. https://www.sciencedirect.com/topics/immunology-and-microbiology/dahlia. Accessed 17 Aug. 2020. Pahalawatta, V., et al. “Incidence and Relative Prevalence of Distinct Caulimoviruses (Genus Caulimovirus , Family Caulimoviridae ) Associated with Dahlia Mosaic in Dahlia Variabilis.” Plant Disease, vol. 91, no. 9, Sept. 2007, pp. 1194–97. DOI.org (Crossref), doi:10.1094/PDIS-91-9-1194.

Hull, Roger. “Virus Replication.” Matthews’ Plant Virology, Elsevier, 2002, pp. 293–372. DOI.org (Crossref), doi:10.1016/B978-012361160-4/50059-1.

Caulimoviridae ~ ViralZone Page. https://viralzone.expasy.org/96?outline=complete_by_species. Accessed 16 Aug. 2020.

Sastry, K. Subramanya, et al. “Dahlia Spp.” Encyclopedia of Plant Viruses and Viroids, by K. Subramanya Sastry et al., Springer India, 2019, pp. 819–27. DOI.org (Crossref), doi:10.1007/978-81-322-3912-3_303."
"Tomato chlorotic dwarf viroid",100785,3,"species","Virus","RNA","ss","Unknown","Naked","Unknown","Yes","Plant","Kimberly Nelsen Kimberly Campos Kiowa Gatewood","TMD","Sangha, Jatinder S., et al. “λ-Carrageenan Suppresses Tomato Chlorotic Dwarf Viroid (TCDVd) Replication and Symptom Expression in Tomatoes.” Marine Drugs, vol. 13, no. 5, May 2015, pp. 2875–89. PubMed Central, doi:10.3390/md13052875.

Search. https://www.globalbioticinteractions.org/?interactionType=interactsWith&sourceTaxon=NCBI%3A100785. Accessed 23 Oct. 2020.

Taxonomy Browser (Tomato Chlorotic Dwarf Viroid). https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=100785&lvl=3&p=has_linkout&p=blast_url&p=genome_blast&lin=f&keep=1&srchmode=1&unlock. Accessed 23 Oct. 2020. NA Pospiviroidae ~ ViralZone Page. https://viralzone.expasy.org/6916. Accessed 24 Oct. 2020.

Tomato Chlorotic Dwarf Viroid - an Overview | ScienceDirect Topics. https://www.sciencedirect.com/topics/agricultural-and-biological-sciences/tomato-chlorotic-dwarf-viroid. Accessed 24 Oct. 2020."
"Soil-borne cereal mosaic virus",100887,3,"species","Virus","RNA","ss","Positive_strand","Incongruent","Helical","Yes","Plant","Zara Nadeem Tasmia Promi Zahin Quayyum","TMD","https://ahdb.org.uk/cerealmosaicviruses

Te, Jeannie, et al. “Soilborne Wheat Mosaic Virus (SBWMV) 19K Protein Belongs to a Class of Cysteine Rich Proteins That Suppress RNA Silencing.” Virology Journal, vol. 2, Mar. 2005, p. 18. PubMed Central, doi:10.1186/1743-422X-2-18. Furovirus ~ ViralZone Page. https://viralzone.expasy.org/641?outline=all_by_species. Accessed 5 July 2020.

Ratti, Claudio, et al. “Detection and Relative Quantitation of Soil-Borne Cereal Mosaic Virus (SBCMV) and Polymyxa Graminis in Winter Wheat Using Real-Time PCR (TaqMan).” Journal of Virological Methods, vol. 122, no. 1, Dec. 2004, pp. 95–103. PubMed, doi:10.1016/j.jviromet.2004.08.013.

Soil-Borne Cereal Mosaic Virus. https://www.genome.jp/virushostdb/100887. Accessed 5 July 2020. Ratti, Claudio, et al. “Detection and Relative Quantitation of Soil-Borne Cereal Mosaic Virus (SBCMV) and Polymyxa Graminis in Winter Wheat Using Real-Time PCR (TaqMan).” Journal of Virological Methods, vol. 122, no. 1, Dec. 2004, pp. 95–103. PubMed, doi:10.1016/j.jviromet.2004.08.013."
