scientific_name,bac_gram_stain,bac_oxygen_use,biofilm_forming,spore_forming,metabolism,metabolism_carbon_source,metabolism_electron_source,metabolism_energy,pathogen,pathogen_host,pathogen_host_human,extremophile,extremophile_type
Acidaminococcus fermentans,Positive,anaerobes,Yes,No,,,,,No,,None,No,
Acidovorax delafieldii,Negative,aerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,No,,None,Yes,Acidophile
Acinetobacter baumannii,Negative,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,Respiratory_tract Blood CNS,No,
Acinetobacter calcoaceticus,Negative,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,Respiratory_tract Blood CNS,No,
Acinetobacter haemolyticus,Negative,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,Respiratory_tract Blood CNS,No,
Acinetobacter johnsonii,Negative,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,Respiratory_tract Blood CNS,No,
Acinetobacter lwoffii,Negative,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,Respiratory_tract Blood CNS,No,
Actinobacillus lignieresii,Negative,facultative_anaerobes,Yes,No,,,,,Yes,Animal,oral_cavity,No,
Actinobacillus minor,Positive,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Animal,oral_cavity,No,
Actinobacillus minor,Negative,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,,,,No,
Actinobacillus pleuropneumoniae,Positive,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Animal,Respiratory_tract,No,
Actinobacillus pleuropneumoniae,Negative,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,,,,No,
Actinobacillus suis,Positive,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Animal,Respiratory_tract,No,
Actinobacillus suis,Negative,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,,,,No,
Actinomyces bovis,Positive,anaerobes,Yes,Yes,,,,,Yes,Animal,oral_cavity,No,
Actinomyces gerencseriae,Positive,anaerobes,Yes,Yes,,,,,Yes,Human,oral_cavity,No,
Actinomyces israelii,Positive,anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,oral_cavity,No,
Actinomyces israelii,Positive,anaerobes,Yes,Yes,heterotroph organo chemo,heterotroph,organotroph,chemotroph,,,,No,
Actinomyces meyeri,Positive,anaerobes,Yes,Yes,,,,,Yes,Human,oral_cavity,No,
Actinomyces naeslundii,Positive,anaerobes,Yes,Yes,,,,,Yes,Human,oral_cavity,No,
Actinomyces odontolyticus,Positive,anaerobes,Yes,Yes,,,,,Yes,Human,oral_cavity,No,
Actinomyces viscosus,Positive,anaerobes,Yes,Yes,,,,,Yes,Human,oral_cavity,No,
Aerococcus viridans,Positive,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,Blood Respiratory_tract Urogenital,No,
