scientific_name,euk_growth,euk_morphology,biofilm_forming,euk_uv_resistant,extremophile,extremophile_type,euk_lifestyle,euk_lifestyle_benthic,euk_toxin,euk_antagonism,euk_antagonism_type,euk_symbiosis
Chaetoceros decipiens Cleve,Colonial,Elongated,Yes,Yes,No,,Planktonic,,,,,
Nitzschia acicularis,Solitary,Elongated,No,Yes,,,,,,,,
Amphidinium carterae,Colonial,Ellipsoidal,Yes,Yes,No,,Planktonic,Dinoflagellate,Yes,Yes,Antibacterial,No
Cerataulina pelagica,Colonial,Ellipsoidal,Yes,Yes,No,,Planktonic,Dinoflagellate,Yes,Yes,Antibacterial,No
Cyclotella meneghiniana,Colonial,Circular,Yes,Yes,Yes,Psychrophile,Planktonic,Centric,No,Yes,Antibacterial,No
Nitzschia angularis Wm. Smith,Solitary,Elongated,No,Yes,No,,Planktonic,Pennate,Yes,Yes,Antibacterial,No
Nitzschia longissima,Solitary,Elongated,No,Yes,No,,Planktonic,Pennate,Yes,Yes,Antibacterial,No
Phaeodactylum tricornutum,Colonial,Triangular,Yes,Yes,No,,Planktonic,Centric,No,Yes,Antibacterial,No
Navicula cryptocephala,Solitary,Ellipsoidal,No,No,Yes,Thermophile,Benthic,Pennate,Yes,Yes,Antifungal,No
Navicula cryptocephala Kützing,Solitary,Ellipsoidal,No,No,Yes,Thermophile,Benthic,Pennate,Yes,Yes,Antifungal,No
Navicula gregaria,Solitary,Ellipsoidal,No,No,Yes,Thermophile,Benthic,Pennate,Yes,Yes,Antifungal,No
Navicula pelliculosa,Solitary,Ellipsoidal,No,No,Yes,Thermophile,Benthic,Pennate,Yes,Yes,Antifungal,No
Navicula pelliculosa (Brébisson ex Kützing) Hilse,Solitary,Ellipsoidal,No,No,Yes,Thermophile,Benthic,Pennate,Yes,Yes,Antifungal,No
Diatoma vulgaris,Colonial,Elongated,Yes,Yes,No,,Planktonic,Pennate,Yes,Yes,Antiviral,No
Diatoma vulgaris Bory,Colonial,Elongated,Yes,Yes,No,,Planktonic,Pennate,Yes,Yes,Antiviral,No
Thalassiosira pseudonana,Colonial,Circular,Yes,No,Yes,Psychrophile,Planktonic,Centric,No,Yes,Antiviral,No
Achnanthes flexella,Solitary,Ellipsoidal,No,Yes,No,,Benthic,Pennate,No,No,,No
Achnanthes longipes,Solitary,Ellipsoidal,No,Yes,No,,Benthic,Pennate,No,No,,No
Achnanthes longipes Agardh,Solitary,Ellipsoidal,No,Yes,No,,Benthic,Pennate,No,No,,No
Achnanthes minutissima,Solitary,Ellipsoidal,No,Yes,No,,Benthic,Pennate,No,No,,No
Achnanthes minutissima Kützing,Solitary,Ellipsoidal,No,Yes,No,,Benthic,Pennate,No,No,,No
Actinella punctata,Solitary,Circular,No,No,Yes,Acidophile,Benthic,Centric,No,No,,No
Actinocyclus ingens,Colonial,Circular,Yes,Yes,No,,Planktonic,Centric,No,No,,No
Actinocyclus ingens Rattray,Colonial,Circular,Yes,Yes,No,,Planktonic,Centric,No,No,,No
