scientific_name,virus_genome,virus_strand,virus_strand_sense,virus_capsid_symmetry,virus_capsid,pathogen,pathogen_host,Host_species
Acanthamoeba polyphaga mimivirus,DNA,ds,Positive,Icosahedral,Naked,Yes,Protist,Acanthamoeba polyphaga
Acidianus filamentous virus 1,DNA,ss,Positive,Filamentous,Naked,No,Archaea,Archaea
Acidianus halorubrum phage 1,DNA,ds,Positive,Icosahedral,Naked,Yes,Archaea,Archaea
Acidianus halorubrum phage 2,DNA,ds,Positive,Icosahedral,Naked,Yes,Archaea,Archaea
Acinetobacter phage LMA1,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Acinetobacter phage LMA10,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Acinetobacter phage LMA100,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Acinetobacter phage LMA101,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Acinetobacter phage LMA102,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Acinetobacter phage LMA103,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Acinetobacter phage LMA104,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Acinetobacter phage LMA105,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Acinetobacter phage LMA106,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Acinetobacter phage LMA107,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Acinetobacter phage LMA108,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Acinetobacter phage LMA109,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Acinetobacter phage LMA11,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Acinetobacter phage LMA110,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Acinetobacter phage LMA111,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Acinetobacter phage LMA112,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Acinetobacter phage LMA113,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Acinetobacter phage LMA114,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Acinetobacter phage LMA115,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Acinetobacter phage LMA116,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Acinetobacter phage LMA117,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Acinetobacter phage LMA118,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Acinetobacter phage LMA119,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Acinetobacter phage LMA12,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Acinetobacter phage LMA120,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Acinetobacter phage LMA121,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Acinetobacter phage LMA122,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Acinetobacter phage LMA123,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Acinetobacter phage LMA124,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Acinetobacter phage LMA125,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Acinetobacter phage LMA126,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Acinetobacter phage LMA127,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Acinetobacter phage LMA128,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Acinetobacter phage LMA129,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Acinetobacter phage LMA13,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Acinetobacter phage LMA130,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Acinetobacter phage LMA131,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Acinetobacter phage LMA132,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Acinetobacter phage LMA133,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Acinetobacter phage LMA134,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Acinetobacter phage LMA135,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Acinetobacter phage LMA136,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Acinetobacter phage LMA137,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Acinetobacter phage LMA138,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Acinetobacter phage LMA139,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Acinetobacter phage LMA14,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Acinetobacter phage LMA140,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Acinetobacter phage LMA141,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Acinetobacter phage LMA142,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Acinetobacter phage LMA143,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Acinetobacter phage LMA144,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Acinetobacter phage LMA145,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Acinetobacter phage LMA146,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Acinetobacter phage LMA147,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Acinetobacter phage LMA148,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Acinetobacter phage LMA149,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Acinetobacter phage LMA15,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Acinetobacter phage LMA150,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Acinetobacter phage LMA16,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Acinetobacter phage LMA17,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Acinetobacter phage LMA18,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Acinetobacter phage LMA19,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
